generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check
69,0.22265243156124645,16804.1,0.7697347097052467,0.2957647798724693,0.33069416396491264,0.3793742656792126,0.22476955435885926,0.23930456976715442,0.0,116.84,49654.14,54897.42,0.0,11973.2
70,0.21319242206919087,10297.72,0.5877923795217455,0.3488213492323889,0.31119834326381557,0.4101187661439696,0.2739248290497541,0.31091208075779686,0.0,119.58,33122.02,35461.3,0.0,5450.54
71,0.2562519085233749,25037.44,0.4729569441490627,0.40419045457765945,0.39447811490564993,0.5129160964733248,0.36400351450837937,0.36311973411971393,0.0,28.36,99013.0,99184.92,0.0,541.78
72,0.23614125859829843,22226.46,0.7533771991834479,0.2617042091095967,0.2810010699851422,0.30204159689633514,0.16307481141539362,0.15296638850062652,0.0,173.96,66125.66,72929.08,0.0,15528.98
73,0.29529004184803365,40645.02,0.8397849184437699,0.2252565594839227,0.3069712673209952,0.23873126087534413,0.15288375017643951,0.13423420515040246,0.0,92.74,148412.58,152440.24,0.0,9436.46
74,0.23307728873132855,16647.6,0.9024904202472429,0.24507262898434806,0.3826057921970537,0.21320131236318005,0.11933400641345582,0.1660625287457804,0.0,21.0,66262.22,66288.8,0.0,20.82
75,0.1781402374841763,8494.98,0.8003919105516605,0.4357118391036839,0.7035384218802595,0.3802195405566194,0.18181690214770035,0.5174507191924009,0.0,1.76,33805.14,33863.36,0.0,0.64
76,0.23138358228558734,20923.86,0.779281951129405,0.4969964415384607,0.6057628509325784,0.5774821717666613,0.5025698827561971,0.43989528138837564,0.0,4.46,83406.4,83364.66,0.0,3.38
77,0.23491010629726625,17701.24,0.7194470354004653,0.547973037926167,0.3052874202900477,0.6765081012022194,0.8492089558212516,0.2525971878896644,0.0,166.74,66130.3,67263.62,0.0,3016.72
78,0.282144330599881,34970.38,0.8095238668828023,0.46120895323176264,0.3306539970740209,0.7174251211841282,0.9124679631005905,0.09371989614501713,0.0,92.28,131941.64,134091.56,0.0,5150.12
79,0.23578035665499425,22482.18,0.815964368798455,0.44357883723372526,0.30581992483476006,0.6755846472438074,0.9241816947979603,0.10518687779446619,0.0,133.52,66088.26,73222.08,0.0,16277.76
80,0.2470884804861471,24184.18,0.8010030017913923,0.4513030144607684,0.3057323565499258,0.6842389714732886,0.9035397389406742,0.14712627607295742,0.0,92.32,82964.68,87151.1,0.0,9228.94
81,0.2108518921790653,11012.16,0.7852553710201815,0.45988104953381126,0.33394568960404386,0.6681723090612658,0.878399008067738,0.14469829080141763,0.0,114.68,33426.58,36578.2,0.0,7193.54
82,0.2158989462326005,12565.12,0.7303450167504615,0.5363912738442619,0.4648044922966373,0.5977373428507972,0.7184866245207,0.24774453036974223,0.0,18.54,50004.52,50064.98,0.0,17.88
83,0.24643744937492212,22121.38,0.6634291914050492,0.46468957057884197,0.3460654645384398,0.56260645101956,0.6341515248577949,0.1754815497903727,0.0,48.82,82476.08,84177.14,0.0,3946.34
84,0.24723613784191442,21650.06,0.7238680742785263,0.44951807844242725,0.2817843310732663,0.5994483390783384,0.8103143875170703,0.16939139450066268,0.0,54.56,82540.48,83638.28,0.0,2578.14
85,0.24753173190083463,24280.52,0.47810047807390577,0.5006090563191972,0.18714099979153423,0.48480020341639446,0.6874014324079707,0.10146533774791511,0.0,349.88,82876.06,86599.54,0.0,9640.22
86,0.23743410884113797,17928.04,0.5125821698049439,0.5042506185392903,0.20255403469397876,0.5139621771337987,0.6880083982945316,0.10818372904841787,0.0,96.52,66673.0,68014.58,0.0,3331.5
87,0.2354691668434569,19120.48,0.6113627844904631,0.5592024865263044,0.2812796293998127,0.5723624296780435,0.8204540672267544,0.1410221601053226,0.0,272.4,66256.36,69026.58,0.0,6799.04
88,0.22397384523838754,13896.84,0.7755285278992458,0.5128876352764862,0.3342562391429371,0.6355882366259601,0.8756922800144694,0.12582541440777617,0.0,75.1,49492.28,51243.6,0.0,4050.54
